id,nombre,centroide_lon,centroide_lat,categoria,fuente,municipio_id,departamento_id
54084003,BARRIO CUATRO BOCAS,-54.6748836684444,-26.5482209436331,Localidad simple,INDEC,540343.0,54084.0
54084005,BARRIO GUATAMBU,-54.6955807827058,-26.6027932981786,Localidad simple,INDEC,540343.0,54084.0
54084007,BARIO ITA,-54.7089179903484,-26.5283257581417,Localidad simple,INDEC,540343.0,54084.0
54084010,CARAGUATAY,-54.7392272649556,-26.6563488324986,Localidad simple,INDEC,540336.0,54084.0
54084020,LAHARRAGUE,-54.6506736537237,-26.532818826907,Localidad simple,INDEC,540343.0,54084.0
54084060,TARUMA,-54.7278209571683,-26.7282097915611,Localidad simple,INDEC,540336.0,54084.0
54084070,VILLA PARODI,-54.6804147225646,-26.4980184491189,Localidad simple,INDEC,540343.0,54084.0
54091010,COLONIA ALBERDI,-55.232658571153,-27.3569655848168,Localidad simple,INDEC,540371.0,54091.0
54091013,BARRIO ESCUELA 461,-55.0424750470795,-27.616902888101,Localidad simple,INDEC,540392.0,54091.0
54091030,CAMPO VIERA,-55.0528548158544,-27.3310558767329,Localidad simple,INDEC,540364.0,54091.0
54091050,GENERAL ALVEAR,-55.1702709710526,-27.4228667193793,Localidad simple,INDEC,540378.0,54091.0
54091060,GUARANI,-55.161363476829,-27.5203317456103,Localidad simple,INDEC,540385.0,54091.0
54091070,LOS HELECHOS,-55.0778227687919,-27.5531853202103,Localidad simple,INDEC,540392.0,54091.0
54091100,PANAMBI KILOMETRO 8,-54.9846517202885,-27.6631606292713,Localidad simple,INDEC,540406.0,54091.0
54091105,PANAMBI KILOMETRO 15,-54.9664319816326,-27.7043305063396,Localidad simple,INDEC,540406.0,54091.0
54091110,SAN MARTIN,-55.2783440740601,-27.4618128955547,Localidad simple,INDEC,540413.0,54091.0
54098020,CORPUS,-55.5094179289212,-27.1278038790718,Localidad simple,INDEC,540427.0,54098.0
54098030,DOMINGO SAVIO,-55.3368344966029,-27.3546875776242,Localidad simple,INDEC,540462.0,54098.0
54098040,GENERAL URQUIZA,-55.3737660823345,-27.1077317789884,Localidad simple,INDEC,540434.0,54098.0
54098060,HELVECIA,-55.3438282986148,-27.110525539393,Localidad simple,INDEC,540448.0,54098.0
54098080,JARDIN AMERICA,-55.2320858824008,-27.0410707861025,Localidad simple,INDEC,540455.0,54098.0
54098100,ROCA CHICA,-55.4202789802254,-27.2143687134287,Localidad simple,INDEC,540441.0,54098.0
54105020,ITACARUARE,-55.2638525290793,-27.8655824463799,Localidad simple,INDEC,540483.0,54105.0
54112010,CRUCE CABALLERO,-53.9437324956095,-26.5379470287742,Localidad simple,INDEC,540504.0,54112.0
54112020,PARAISO,-54.2050107484876,-26.6835663891035,Localidad simple,INDEC,540504.0,54112.0
54112050,TOBUNA,-53.8919888142393,-26.4664417575785,Localidad simple,INDEC,540504.0,54112.0
54119050,SANTA RITA,-54.7305712624723,-27.5183529379611,Localidad simple,INDEC,540511.0,54119.0
58007010,ALUMINE,-70.9180131491473,-39.2395006622098,Localidad simple,INDEC,580007.0,58007.0
58014020,SAN PATRICIO DEL CHANAR,-68.2986456816821,-38.6257824069657,Localidad simple,INDEC,580021.0,58014.0
58035010,ARROYITO,-68.5703350642529,-39.0743997961308,Localidad simple,INDEC,580077.0,58035.0
58035020,BARRIO RUCA LUHE,-68.1803399743279,-38.7543907123239,Localidad simple,INDEC,580091.0,58035.0
58035040,CUTRAL CO,-69.2413390332884,-38.9366016135518,Componente de localidad compuesta,INDEC,580049.0,58035.0
58035050,EL CHOCON,-68.8268723660918,-39.2589786425295,Localidad simple,INDEC,580084.0,58035.0
58035060,MARI MENUCO,-68.557547832041,-38.5383043330689,Localidad simple,INDEC,,58035.0
58035100,PLOTTIER,-68.2478403865049,-38.9510561611213,Componente de localidad compuesta,INDEC,580070.0,58035.0
58035110,SENILLOSA,-68.4333833911279,-39.0113034801537,Localidad simple,INDEC,580077.0,58035.0
58035130,VISTA ALEGRE NORTE,-68.1721438862367,-38.7277123127679,Localidad simple,INDEC,580091.0,58035.0
58042020,TRICAO MALAL,-70.3347175778926,-37.0428490399834,Localidad simple,INDEC,580105.0,58042.0
58042030,VILLA DEL CURI LEUVU,-70.3969231250344,-37.1337365202591,Localidad simple,INDEC,585056.0,58042.0
58049010,JUNIN DE LOS ANDES,-71.0703335609136,-39.9494720138355,Localidad simple,INDEC,580112.0,58049.0
58063010,CHORRIACA,-70.0562158162232,-37.929624048638,Localidad simple,INDEC,585063.0,58063.0
58063020,LONCOPUE,-70.6124039046888,-38.0699432722928,Localidad simple,INDEC,580126.0,58063.0
58077020,HUINGANCO,-70.6240350766311,-37.162253742004,Localidad simple,INDEC,580147.0,58077.0
58077050,MANZANO AMARGO,-70.7652790008941,-36.7475538529054,Localidad simple,INDEC,585084.0,58077.0
58077060,VARVARCO,-70.6784177984493,-36.8575631715293,Localidad simple,INDEC,585091.0,58077.0
58077070,VILLA DEL NAHUEVE,-70.7687465935033,-37.1209838887878,Localidad simple,INDEC,585098.0,58077.0
58084010,CAVIAHUE,-71.0537792468958,-37.8741211534774,Localidad simple,INDEC,580168.0,58084.0
58084050,TAQUIMILAN,-70.2503863712688,-37.5169103878888,Localidad simple,INDEC,,58084.0
58091040,RINCON DE LOS SAUCES,-68.9309943279283,-37.3899075901743,Localidad simple,INDEC,580210.0,58091.0
58098005,EL SAUCE,-69.5298228549206,-39.4750725824586,Localidad simple,INDEC,585112.0,58098.0
58098010,PASO AGUERRE,-69.8442147950698,-39.3393978445221,Localidad simple,INDEC,585119.0,58098.0
58105030,LAS LAJAS,-70.3689502898327,-38.5292612011937,Localidad simple,INDEC,580231.0,58105.0
58105040,QUILI MALAL,-69.8143687558623,-38.3213178634179,Localidad simple,INDEC,585126.0,58105.0
58112010,LOS CATUTOS,-70.1962106815081,-38.8384807985925,Localidad simple,INDEC,585140.0,58112.0
58112020,MARIANO MORENO,-70.0376761954562,-38.7616758159372,Localidad simple,INDEC,580238.0,58112.0
58112030,RAMON M. CASTRO,-69.750265287383,-38.865500620555,Localidad simple,INDEC,585147.0,58112.0
58112040,ZAPALA,-70.0668545323772,-38.8961687323721,Localidad simple,INDEC,580245.0,58112.0
62007040,GUARDIA MITRE,-63.6719140103256,-40.4302951883973,Localidad simple,INDEC,620007.0,62007.0
62007010,BAHIA CREEK,-63.9092240856567,-41.0954235915941,Localidad simple,INDEC,,62007.0
62007090,VIEDMA,-62.9853203682712,-40.8093232712389,Componente de localidad compuesta,INDEC,620014.0,62007.0
62014020,CHELFORO,-66.520954661381,-39.0881631155042,Localidad simple,INDEC,,62014.0
62014040,CHOELE CHOEL,-65.663280823108,-39.2884543350453,Localidad simple,INDEC,620028.0,62014.0
62014080,LUIS BELTRAN,-65.7648714193881,-39.3088800984468,Localidad simple,INDEC,620056.0,62014.0
62021010,BARRIO EL PILAR,-71.3493437707973,-41.1814203033089,Localidad simple,INDEC,620077.0,62021.0
62021020,COLONIA SUIZA,-71.505527376881,-41.0947497360429,Localidad simple,INDEC,620077.0,62021.0
62021030,EL BOLSON,-71.5336172136647,-41.9804859657332,Localidad simple,INDEC,620070.0,62021.0
62021050,RIO VILLEGAS,-71.5012934002795,-41.5822159155763,Localidad simple,INDEC,625028.0,62021.0
62021080,VILLA CATEDRAL,-71.4375745404969,-41.1666351264313,Localidad simple,INDEC,620077.0,62021.0
62021110,VILLA MASCARDI,-71.5090416294131,-41.3495536441427,Localidad simple,INDEC,,62021.0
62035050,MENCUE,-69.6143877108253,-40.4229029710507,Localidad simple,INDEC,625070.0,62035.0
62035070,PASO CORDOVA,-67.6264974744394,-39.1153330396607,Componente de localidad compuesta,INDEC,620161.0,62035.0
62042010,ALLEN,-67.8280213981609,-38.9795106570689,Localidad simple,INDEC,620091.0,62042.0
62042040,BARRIO BLANCO,-67.7863228650653,-39.0309641335839,Localidad simple,INDEC,620091.0,62042.0
62042050,BARRIO CALLE CIEGA No 10,-67.8005036132986,-39.0230092190233,Localidad simple,INDEC,620091.0,62042.0
62042060,BARRIO CALLE CIEGA No 6,-67.7520658420811,-39.0430891464152,Localidad simple,INDEC,620091.0,62042.0
62042100,BARRIO COSTA LINDA,-67.9095130600984,-38.9435967131876,Localidad simple,INDEC,620154.0,62042.0
62042115,BARRIO DESTACAMENTO,-67.8695487107459,-37.688801948065,Localidad simple,INDEC,625105.0,62042.0
62042130,BARRIO EL MARUCHITO,-67.7600066651023,-38.9965483470472,Localidad simple,INDEC,620091.0,62042.0
62042143,BARRIO EMERGENTE,-67.8506842254546,-39.001652251504,Localidad simple,INDEC,620091.0,62042.0
62042170,BARRIO ISLA 10,-67.9181463726224,-38.9966443708843,Localidad simple,INDEC,620154.0,62042.0
62042180,BARRIO LA BARDA,-67.217793659392,-39.0494648024568,Localidad simple,INDEC,620168.0,62042.0
62042210,BARRIO LA DEFENSA,-67.3862477660724,-39.0331815789057,Localidad simple,INDEC,620112.0,62042.0
62042230,BARRIO LA RIBERA - BARRIO APYCAR,-67.5794991279564,-39.0772588097086,Localidad simple,INDEC,620161.0,62042.0
62042240,PUENTE CERO,-67.5009911848666,-39.0298112121202,Localidad simple,INDEC,620161.0,62042.0
62042260,BARRIO MARIA ELVIRA,-67.9613095600255,-38.9901442627179,Localidad simple,INDEC,620133.0,62042.0
62042270,BARRIO MOSCONI,-67.5898603467619,-39.0907183953718,Localidad simple,INDEC,620161.0,62042.0
62042335,BARRIO SANTA LUCIA,-67.2984549123711,-39.0282517975929,Localidad simple,INDEC,620175.0,62042.0
62042340,BARRIO SANTA RITA,-67.1035165050666,-39.1260785745275,Localidad simple,INDEC,620182.0,62042.0
62042370,CERVANTES,-67.3930560378065,-39.0515785846632,Localidad simple,INDEC,620112.0,62042.0
62042380,CHICHINALES,-66.9425150029993,-39.1148814347412,Localidad simple,INDEC,620119.0,62042.0
62042390,CINCO SALTOS,-68.06609620552,-38.8275620197176,Localidad simple,INDEC,620126.0,62042.0
62042420,FERRI,-68.0068433988189,-38.8871754648156,Localidad simple,INDEC,620133.0,62042.0
62042450,GENERAL ROCA,-67.5748540962425,-39.0267025182087,Localidad simple,INDEC,620161.0,62042.0
62042470,INGENIERO OTTO KRAUSE,-66.9939096262054,-39.1114281023989,Localidad simple,INDEC,620119.0,62042.0
