,operador_id,producto
2455,1145,MANI
2456,1145,MANI CONFITERIA
2457,1145,MANI FRITO SALADO
2458,1145,MANI TOSTADO
2459,1145,ACEITE DE MANI
2460,1145,PASTA DE MANI
2461,1145,HARINA DE MANI
2462,1146,MANI
2463,1148,MANI
2464,1149,COMERCIALIZACION DE MANI
2465,1149,SUS DERIVADOS.
2466,1150,MANI
2467,1150,MANI CONFITERIA
2468,1150,MANI FRITO SALADO
2469,1150,MANI TOSTADO
2470,1150,ACEITE DE MANI
2471,1150,HARINA DE MANI
2472,1150,PASTA DE MANI
2473,1151,MANI 
2474,1152,MANI
2475,1153,MANI
2476,1153,SOJA
2477,1154,CEREALES
2478,1154,OLEAGINOSAS
2479,1155,LANA SUCIA
2480,1155,LANA PEINADA
2481,1156,AJO
2482,1156,ZAPALLO
2483,1157,VINO
2484,1157,MOSTO
2485,1158,ACEITE DE OLIVA
2486,1159,SEMILLA DE LECHUGA
2487,1159,SEMILLA DE CEBOLLA
2488,1160,PULPA CONCENTRADA DE DAMASCO
2489,1160,PULPA CONCENTRADA DE MANZANA
2490,1160,PULPA CONCENTRADA DE PERA
2491,1160,PULPA CONCENTRADA DE CIRUELA
2492,1161,AJO
2493,1161,ZAPALLO
2494,1162,ACEITE DE OLIVA
2495,1163,VINO
2496,1163,VINO ESPUMANTE
2497,1164,VINO
2498,1165,ROSELLA
2499,1165,STEVIA
2500,1165,TE
2501,1165,TE NEGRO
2502,1165,TE VERDE
2503,1165,YERBA MATE
2504,1165,TE ROJO
2505,1166,YERBA MATE
2506,1167,YERBA MATE
2507,1168,CIRUELA
2508,1168,DURAZNO
2509,1168,CEREZA
2510,1168,MANZANA
2511,1168,PERA
2512,1168,ZAPALLO
2513,1170,PERAS
2514,1170,MANZANAS
2515,1170,DURAZNOS
2516,1170,CEREZA
2517,1170,CIRUELAS
2518,1170,ZAPALLO
2519,1171,JUGO CONCENTRADO
2520,1171,PURE DE PERA
2521,1172,MANZANAS
2522,1172,PERAS
2523,1173,MANZANAS
2524,1173,PERAS
2525,1173,UVAS
2526,1173,ARANDANOS
2527,1174,CEREALES
2528,1174,OLEAGINOSAS
2529,1175,CEREALES
2530,1175,OLEAGINOSAS
2531,1176,CHIA (SALVIA HISPANICA L)
2532,1176,TRIGO
2533,1176,QUINOA
2534,1178,MIEL
2535,1178,SUBPRODUCTOS DE LA COLMENA
2536,1179,AZUCAR DE CAï¿½A
2537,1180,CHIA (SALVIA HISPANICA L.)
2538,1180,POROTO
2539,1180,SESAMO
2540,1181,CHIA (SALVIA HISPANICA L.)
2541,1182,CHIA (SALVIA HISPANICA L.)
2542,1183,AZUCAR DE CAï¿½A
2543,1183,CHIA (SALVIA HISPANICA L.)
2544,1183,QUINOA
2545,1183,SESAMO
2546,1184,CHIA (SALVIA HISPANICA L.)
2547,1184,FRUTILLA
2548,1184,FRUTILLA CONGELADA
2549,1184,ARANDANO
2550,1184,ARANDANO CONGELADO
2551,1185,CHIA
2552,1186,MAIZ
2553,1186,CENTENO
2554,1186,DESCANSO
2555,1186,SOJA
2556,1186,ABONO VERDE
2557,1187,CEREALES
2558,1187,OLEAGINOSAS
2559,1188,AROMATICAS
2560,1189,INCULTO
2561,1189,ARROZ
